date,title,body
2004-12-17,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは3.0.0となっております。今回は、アプリのバージョンを揃える為に強制バージョンアップとなりますのでご了承ください。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・[MENU]に「検索」を追加（詳細は[MENU]→[HELP]→「各機能詳細」参照）
　Google検索、Yahoo検索、Amazon商品検索、バーコード商品検索（Docomoのみ）、CCコード、JWord検索、国語辞書、英和和英辞書、乗換案内、地図
・操作メニュー変更
　「Google一発検索」を「このページを和訳」に変更（※翻訳後のページでは、画像が一部表示されない場合がございます）
・操作メニューに「画像保存」を追加（auのみ）
　※au版はKDDIの定めたEZアプリの仕様上、DoCoMo版とは異なり、アプリ上で画像保存をすることができません。
　EZwebに切り替えて画像URLにアクセスするかたちとなりますのでご了承ください。
　（サイズが大きな画像は表示されない場合がございます）
・N/P900iでのリソース不足改善
・画像保存時のサイズ調整関連の不具合を修正"
2004-12-17,お知らせ,"PCからのオンライン決済で、一部エラーが起こっておりました。大変申し訳ございません。決済が完了したのにjigブラウザが使えないという方は、お手数なのですが下記の情報をお送りください。なお、現在は修正済みでございます。
・クレジットカードの方：クレジットカード決済時の「お名前」「メールアドレス」「お電話番号」「jigブラウザお客様番号」
・WebMoneyの方：「WebMoneyの管理番号」「決済日」「jigブラウザお客様番号」
 ※管理番号とは、決済番号とは別にWebMoneyカードの右下に記載されている番号です"
2004-12-21,お知らせ,"携帯電話向け番組視聴サービス「jigチャンネル」β版を開始しました。無料のアプリですので是非お試しください。
http://ch.jig.jp/
※対応機種はDoCoMoのみとなっております。ダウンロードはi-modeブラウザでお願いします。"
2004-12-21,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは3.0.2となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・一部ページでエラーダイアログが出る不具合を修正"
2004-12-21,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは3.0.1となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・画像にカーソルをあわせたときに、ALT属性が表示されない不具合を解消
・大文字HTTPがあるページが表示できない不具合を修正
・操作メニューの待受設定でのサイズ変更を削除(DoCoMoのみ)
・N/P900iで待受画像がデフォルトに戻ってしまう不具合を修正
・N/P900iでのリソース不足を改善"
2004-12-24,お知らせ,2004/12/24 21:03～22:03、サーバの一台に障害が発生し、お客様番号の末尾2004のお客様がご利用いただけない状態となっておりました。現在は復旧しております。ご迷惑おかけし申し訳ありませんでした。原因の究明と、再発防止に努めます。
2004-12-24,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは3.0.3となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・一部ページでの処理速度向上
・RSSの全既読化選択後にNEWアイコンが消えない不具合を修正
・AU版でメモリ不足により接続できなくなる不具合を改善
・乗換案内で入力時刻が反映されない不具合を修正"
2004-12-24,お知らせ,銀行及び郵便のお振込みですが、年内の登録処理は12/28の15:00までにお振込みの分までとさせていただきます。それ以降のお振込みの登録処理は1/5となりますのでご了承ください。なお、クレジットカード及びWebMoneyの登録処理は年末年始でも即日行われます。
2004-12-28,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは3.0.4となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・画像のALT属性が表示されない不具合を修正
・接続中の砂時計画像が動かない不具合を修正
・AU版でメモリ不足により強制終了する不具合を修正"
2005-01-10,お知らせ,2005/1/10 21:22～21:40、サーバの一台に障害が発生し、お客様番号の末尾1027のお客様がご利用いただけない状態となっておりました。現在は復旧しております。ご迷惑おかけし申し訳ありませんでした。原因の究明と、再発防止に努めます。
2005-01-12,お知らせ,本日(1/12)23:30～放送される｢ワールドビジネスサテライト(テレビ東京系列)｣でjigが紹介されます｡10分くらいの特集で紹介されますので､是非ご覧下さい｡
2005-01-19,WebMoneyからのお知らせ,"WebMoneyからのお知らせです。
本日、午前８時から午前１０時までの間、WebMoneyのサーバ機器増強によるシステムメンテナンスのためWebMoney決済サービスを一時停止させていたくお知らせをさせていただきましたが、機器設定等に想定以上の時間を要しております関係で作業時間が延長となりました。"
2005-01-19,障害報告(br1012サーバ),2005/1/19 04:20～04:39、サーバの一台にハードウェア障害が発生し、お客様番号の末尾1012のお客様がご利用いただけない状態となっておりました。現在は復旧しております。ご迷惑おかけし申し訳ありませんでした。
2005-01-28,jigブラウザVer3.0.6リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.0.6です。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・バージョン表示の部分が正しく表示されていなかった不具合を修正。
・ＲＳＳ選択画面でニューロポインターがきかないという不具合を修正。"
2005-01-28,jigブラウザVer3.0.5リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.0.5となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。 

・ケータイモードで画像表示してるときに再読み込みした場合、画像が小さくなってしまう不具合を修正
・ショートカットのページアップ、ページダウン連打に反応しない不具合を修正
・スクロール設定が画面切替のとき、画像のalt表示が点滅する不具合を修正
・各種リセット後にメニューが変わる不具合を修正
・縮小ビューで背景画像が正常に描画されない不具合を修正(DoCoMoのみ）

サーバ側の変更を行いました。（アプリのバージョンアップ不要）
・ページ分割機能実装
HTMLのサイズが約50KBを超えると複数ページに分割して表示されます。
その場合は、ページ末尾の「続きを表示」リンクをクリックして次のページへお進みください。"
2005-01-31,jigブラウザVer3.0.8リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.0.8となっておりま
す。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・RSSの選択削除でアプリエラーになる不具合を修正
・N901iCで待受起動をしたときにアプリエラーになる不具合を修正

サーバ側の変更を行いました。(アプリのバージョンアップ不要)
・テーブル整形の不具合を修正"
2005-01-31,jigブラウザVer3.0.7リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.0.7となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・RSSの全既読化、選択削除、一つ上へを選んだ時に起こっていた不具合を修正
・文章ビューでリンクに飛び、戻った場合のカーソル位置の不具合を修正
・レイアウト設定後にリロードしても設定が反映されない不具合を修正
・RSSでタッチパネルに反応しない不具合を修正
・N901iCで文字列入力後にニューロポインタに反応しない不具合を修正"
2005-01-31,料金改定のお知らせ,"年間利用料金を改定しました。お客様によりお支払いただきやすい価格（税込：6,000円）になりました。それに伴い、規約の条文改定を行いました。 "
2005-02-02,jigブラウザVer3.1.0リリース,D901i/F901iCで待受起動から活性化したときにエラーがでる不具合を修正しました。D901i/F901iCの方はバージョンアップをお願いします。
2005-02-02,jigブラウザVer3.0.9リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.0.9となっております。
DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・RSS全既読化でエラーが出る不具合を修正

サーバ側の変更を行いました。(アプリのバージョンアップ不要)
・テーブル・フレームのレイアウトを一部修正"
2005-02-04,jigブラウザデジタル・コンテンツ・オブ・ジ・イヤー'04部門賞のBest Programme,2月3日に受賞式が行われたデジタル・コンテンツ・オブ・ジ・イヤー'04で「jigブラウザ」が部門賞のBest Programmer賞を受賞致しました。詳しくはこちらをご覧ください
